category,subcategory,submenu,specific setting,filePrefix
Flange,Flange ASME B16.5 Flanges,Weldneck,,
Flange,Flange ASME B16.5 Flanges,Slip-on,,
Flange,Flange ASME B16.5 Flanges,Blind,,
Flange,Flange ASME B16.5 Flanges,Threaded,,
Flange,Flange ASME B16.5 Flanges,Socket welded,,
Flange,Flange ASME B16.5 Flanges,Lapped,,
Flange,Flange ASME B16.5 Flanges,Long welding neck,,
Flange,Flange ASME B16.47 Series A Flanges,Weldneck,RF,Flaa1
Flange,Flange ASME B16.47 Series A Flanges,Weldneck,RTJ,Flaa1a
Flange,Flange ASME B16.47 Series A Flanges,Blind,RF,Flaa2
Flange,Flange ASME B16.47 Series A Flanges,Blind,RTJ,Flaa2a
Flange,Flange ASME B16.47 Series B Flanges,Weldneck,RF,Flaa1
Flange,Flange ASME B16.47 Series B Flanges,Weldneck,RTJ,Flaa1a
Flange,Flange ASME B16.47 Series B Flanges,Blind,RF,Flaa2
Flange,Flange ASME B16.47 Series B Flanges,Blind,RTJ,Flaa2a
Flange,Flange ASME Orifice Flanges,Weldneck,,
Flange,Flange ASME Orifice Flanges,Slip-on,,
Flange,Flange ASME Orifice Flanges,Blind,,
Flange,Flange ASME Orifice Flanges,Threaded,,
Flange,Flange ASME Orifice Flanges,Socket welded,,
Flange,Flange ASME Orifice Flanges,Lapped,,
Flange,Flange ASME Orifice Flanges,Long welding neck,,
Flange,Flange API Type 6B Flanges,Weldneck,,Fl6b1
Flange,Flange API Type 6B Flanges,Threaded,,Fl6b2
Flange,Flange API Type 6B Flanges,Blind,,Fl6b3
Flange,Flange API Type 6BX Flanges,Weldneck,,
Flange,Flange API Type 6BX Flanges,Slip-on,,
Flange,Flange API Type 6BX Flanges,Blind,,
Flange,Flange API Type 6BX Flanges,Threaded,,
Flange,Flange API Type 6BX Flanges,Socket welded,,
Flange,Flange API Type 6BX Flanges,Lapped,,
Flange,Flange API Type 6BX Flanges,Long welding neck,,
Flange,Flange ASME Reducing Flanges,Weldneck,,
Flange,Flange ASME Reducing Flanges,Slip-on,,
Flange,Flange ASME Reducing Flanges,Blind,,
Flange,Flange ASME Reducing Flanges,Threaded,,
Flange,Flange ASME Reducing Flanges,Socket welded,,
Flange,Flange ASME Reducing Flanges,Lapped,,
Flange,Flange ASME Reducing Flanges,Long welding neck,,
Flange,Flange ASME Compact Flanges,Weldneck,,
Flange,Flange ASME Compact Flanges,Slip-on,,
Flange,Flange ASME Compact Flanges,Blind,,
Flange,Flange ASME Compact Flanges,Threaded,,
Flange,Flange ASME Compact Flanges,Socket welded,,
Flange,Flange ASME Compact Flanges,Lapped,,
Flange,Flange ASME Compact Flanges,Long welding neck,,
Flange,Flange Hub and Clamp,Weldneck,,
Flange,Flange Hub and Clamp,Slip-on,,
Flange,Flange Hub and Clamp,Blind,,
Flange,Flange Hub and Clamp,Threaded,,
Flange,Flange Hub and Clamp,Socket welded,,
Flange,Flange Hub and Clamp,Lapped,,
Flange,Flange Hub and Clamp,Long welding neck,,
Flange,Flange EN 1092-1 Flanges,Weldneck,,
Flange,Flange EN 1092-1 Flanges,Slip-on,,
Flange,Flange EN 1092-1 Flanges,Blind,,
Flange,Flange EN 1092-1 Flanges,Threaded,,
Flange,Flange EN 1092-1 Flanges,Socket welded,,
Flange,Flange EN 1092-1 Flanges,Lapped,,
Flange,Flange EN 1092-1 Flanges,Long welding neck,,
Flange,Flange BS 10 Flanges,Weldneck,,
Flange,Flange BS 10 Flanges,Slip-on,,
Flange,Flange BS 10 Flanges,Blind,,
Flange,Flange BS 10 Flanges,Threaded,,
Flange,Flange BS 10 Flanges,Socket welded,,
Flange,Flange BS 10 Flanges,Lapped,,
Flange,Flange BS 10 Flanges,Long welding neck,,
Fittings,Buttwelded Fittings,BW Elbow,LR,
Fittings,Buttwelded Fittings,BW Elbow,SR,
Fittings,Buttwelded Fittings,BW Return,,
Fittings,Buttwelded Fittings,BW Tee,,
Fittings,Buttwelded Fittings,BW Cross,,
Fittings,Buttwelded Fittings,BW Cap,,
Fittings,Buttwelded Fittings,BW Reducer,,
Fittings,Buttwelded Fittings,BW Lap Joint Stub End,,
Fittings,Threaded Fittings,Threaded Elbow,,
Fittings,Threaded Fittings,Threaded Tee,,
Fittings,Threaded Fittings,Threaded Cross,,
Fittings,Threaded Fittings,Threaded Coupling,,
Fittings,Threaded Fittings,Threaded Cap,,
Fittings,Threaded Fittings,Threaded Plug,,
Fittings,Threaded Fittings,Threaded Bushing,,
Fittings,Socketwelded Fittings,Socketwelded Elbow,,
Fittings,Socketwelded Fittings,Socketwelded Tee,,
Fittings,Socketwelded Fittings,Socketwelded Cross,,
Fittings,Socketwelded Fittings,Socketwelded Coupling,,
Fittings,Socketwelded Fittings,Socketwelded Cap,,
Fittings,Socketwelded Fittings,Socketwelded Plug,,
Fittings,Socketwelded Fittings,Socketwelded Bushing,,
Fittings,Swage and Pipe Nipples,Swage / nipple (catalog TBD),,
