folderCode,rootSet,rootSelection,setFile,nodeId,nodeType,lineCount,payloadPreview,detectedPrefixes,mappedCategory,mappedSubcategory,mappedSubmenu,chosenPrefix,notes
Blnu,Blnu.set,Blnu1,Blnu1.set,Blnu1,set_node,28,16 | 300# | RF | STD | 6,#Blnu | Blnu | Empty,,,,,
Blnu,Blnu.set,Blnu1,Blnu2.set,Blnu2,set_node,28,16 | 300# | RF | STD | 6,#Blnu | Blnu | Empty,,,,,
Blnu,Blnu.set,Blnu1,Blnu3.set,Blnu3,set_node,28,16 | 300# | RF | STD | 6,#Blnu | Blnu | Empty,,,,,
Blnu,Blnu.set,Blnu1,Blnu4.set,Blnu4,set_node,28,16 | 300# | RF | STD | 6,#Blnu | Blnu | Empty,,,,,
Comp,Comp.set,Comp1,Comp1.set,Comp1,set_node,28,16 | 150# | RF | STD | 6,#comp | Comp | comp,,,,,
Fl6b,Fl6b.set,Fl6b1,Fl6b1.set,Fl6b1,set_node,28,8 | 300# | RF | STD | 4,#fl | Fl | FL | fl,,,,,
Fl6b,Fl6b.set,Fl6b1,Fl6b2.set,Fl6b2,set_node,28,8 | 300# | RF | STD | 4,#fl | Fl | FL | fl,,,,,
Flaa,Flaa.set,Flaa1,Flaa1.SET,Flaa1,set_node,28,8 | 300# | RF | STD | 4,FLA | Flaa,,,,,
Flaa,Flaa.set,Flaa1,Flaa2.SET,Flaa2,set_node,28,8 | 300# | RF | STD | 4,FLA | Flaa,,,,,
Flaa,Flaa.set,Flaa1,Flaa3.set,Flaa3,set_node,28,8 | 300# | RF | STD | 4,FLA | Flaa,,,,,
Flaa,Flaa.set,Flaa1,Flaa4.set,Flaa4,set_node,28,8 | 300# | RF | STD | 4,FLA | Flaa,,,,,
Flaa,Flaa.set,Flaa1,Flaa5.set,Flaa5,set_node,28,8 | 300# | RF | STD | 4,FLA | Flaa,,,,,
Flaa,Flaa.set,Flaa1,Flaa6.set,Flaa6,set_node,28,8 | 300# | RF | 10s | 4,FLA | Flaa,,,,,
Flaa,Flaa.set,Flaa1,Flaa7.set,Flaa7,set_node,28,8 | 300# | RF | STD | 4,FLA | Flaa,,,,,
Flan,Flan.set,Flan1,Flan1.SET,Flan1,set_node,28,16 | 300# | RF | STD | 6,#Flan | ActiveTab | Flan | flan | Flg,,,,,
Flan,Flan.set,Flan1,Flan2.SET,Flan2,set_node,28,16 | 300# | RF | STD | 6,#Flan | ActiveTab | Flan | flan | Flg,,,,,
Flan,Flan.set,Flan1,Flan3.SET,Flan3,set_node,28,16 | 300# | RF | STD | 6,#Flan | ActiveTab | Flan | flan | Flg,,,,,
Flan,Flan.set,Flan1,Flan4.SET,Flan4,set_node,28,16 | 300# | RF | STD | 6,#Flan | ActiveTab | Flan | flan | Flg,,,,,
Flan,Flan.set,Flan1,Flan5.SET,Flan5,set_node,28,16 | 300# | RF | STD | 6,#Flan | ActiveTab | Flan | flan | Flg,,,,,
Flan,Flan.set,Flan1,Flan6.SET,Flan6,set_node,28,16 | 300# | RF | 10s | 6,#Flan | ActiveTab | Flan | flan | Flg,,,,,
Flan,Flan.set,Flan1,Flan7.SET,Flan7,set_node,28,16 | 300# | RF | STD | 6,#Flan | ActiveTab | Flan | flan | Flg,,,,,
Flap,Flap.set,Flap1,Flap1.set,Flap1,set_node,28,8 | 300# | RF | STD | 4,Flap | FlgAp,,,,,
Flap,Flap.set,Flap1,Flap2.set,Flap2,set_node,28,8 | 300# | RF | STD | 4,Flap | FlgAp,,,,,
Flbs,Flbs.set,Flbs1,Flbs1.set,Flbs1,set_node,28,8 | 300# | RF | STD | 4,FlaA | FlaD | FlaE | FlaF | FlaH | FlaJ | FlaK | FlaR | FlaS | FlaT | Flbs | flbs,,,,,
Flbx,flbx.set,flbx1,Flbx1.set,Flbx1,set_node,28,8 | 300# | RF | STD | 4,flbx | Flbx | FLBXBT | FLBXWN,,,,,
Flbx,flbx.set,flbx1,Flbx2.set,Flbx2,set_node,28,8 | 300# | RF | STD | 4,flbx | Flbx | FLBXBT | FLBXWN,,,,,
Flco,Flco.set,Flco1,Flco1.set,Flco1,set_node,28,8 | 300# | RF | STD | 4,FlcFlg | Flco,,,,,
Flco,Flco.set,Flco1,Flco2.set,Flco2,set_node,28,8 | 300# | RF | STD | 4,FlcFlg | Flco,,,,,
Flco,Flco.set,Flco1,Flco3.set,Flco3,set_node,28,8 | 300# | RF | STD | 4,FlcFlg | Flco,,,,,
Fldi,Fldi.set,Fldi1,Fldi1.set,Fldi1,set_node,28,8 | 300# | RF | STD | 4,Fldi | fldi,,,,,
Fldi,Fldi.set,Fldi1,Fldi2.set,Fldi2,set_node,28,8 | 300# | RF | STD | 4,Fldi | fldi,,,,,
Fldi,Fldi.set,Fldi1,Fldi3.set,Fldi3,set_node,28,8 | 300# | RF | STD | 4,Fldi | fldi,,,,,
Fldi,Fldi.set,Fldi1,Fldi4.set,Fldi4,set_node,28,8 | 300# | RF | STD | 4,Fldi | fldi,,,,,
